,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
2000-06-01,0.000,0.021,0.035,0.016,0.053,0.003,0.003,0.011
2000-07-01,0.009,0.022,0.007,0.000,0.004,0.000,0.000,0.000
2000-08-01,0.114,0.078,0.043,0.052,0.024,0.035,0.019,0.022
2000-09-01,0.003,0.041,0.025,0.002,0.014,0.000,0.001,0.000
2000-10-01,0.003,0.012,0.109,0.048,0.085,0.021,0.009,0.019
2000-11-01,0.030,0.059,0.076,0.132,0.045,0.015,0.001,0.004
2000-12-01,0.189,0.024,0.388,0.410,0.422,0.008,0.012,0.016
2001-01-01,0.011,0.129,0.117,0.049,0.154,0.004,0.001,0.002
2001-02-01,0.312,0.175,0.006,0.084,0.035,0.000,0.029,0.014
2001-03-01,0.000,0.023,0.168,0.052,0.113,0.038,0.005,0.018
2001-04-01,0.695,0.068,0.026,0.144,0.016,0.041,0.013,0.040
2001-05-01,2.122,0.457,0.568,1.082,0.536,0.056,0.114,0.073
2001-06-01,1.394,0.021,0.398,0.767,0.376,0.016,0.003,0.009
2001-07-01,0.665,0.597,0.081,0.420,0.128,0.125,0.352,0.203
2001-08-01,0.190,0.341,0.013,0.055,0.025,0.111,0.143,0.129
2001-09-01,0.400,0.290,0.037,0.183,0.073,0.020,0.087,0.033
2001-10-01,1.574,0.778,0.052,0.655,0.078,0.001,0.199,0.021
2001-11-01,1.806,0.326,0.112,1.011,0.085,0.030,0.091,0.003
2001-12-01,2.370,0.119,0.618,1.913,0.724,0.001,0.089,0.008
2002-01-01,0.610,0.002,0.549,0.733,0.584,0.119,0.033,0.084
2002-02-01,0.458,0.121,0.283,0.540,0.271,0.161,0.152,0.113
2002-03-01,1.219,0.036,1.033,1.450,0.925,0.001,0.001,0.004
2002-04-01,0.713,0.388,0.775,0.811,0.809,0.490,0.371,0.438
2002-05-01,0.417,0.165,0.644,0.618,0.615,0.282,0.254,0.265
2002-06-01,0.120,0.067,0.236,0.229,0.277,0.119,0.071,0.095
2002-07-01,0.001,0.313,0.009,0.002,0.024,0.319,0.177,0.286
2002-08-01,0.083,0.083,0.085,0.173,0.103,0.022,0.007,0.010
2002-09-01,0.195,0.126,0.147,0.506,0.143,0.109,0.001,0.058
2002-10-01,0.317,0.005,0.145,0.496,0.258,0.022,0.001,0.004
2002-11-01,0.384,0.018,0.257,0.175,0.168,0.009,0.005,0.007
2002-12-01,0.124,0.088,0.088,0.033,0.092,0.071,0.056,0.101
2003-01-01,0.042,0.009,0.067,0.127,0.059,0.000,0.000,0.001
2003-02-01,0.027,0.125,0.137,0.197,0.196,0.017,0.016,0.015
2003-03-01,0.060,0.000,0.080,0.249,0.128,0.000,0.013,0.002
2003-04-01,0.318,0.002,0.132,0.329,0.267,0.007,0.005,0.004
2003-05-01,0.710,0.067,0.356,0.548,0.468,0.010,0.003,0.005
2003-06-01,0.840,0.357,0.420,0.599,0.476,0.152,0.126,0.124
2003-07-01,0.015,0.267,0.000,0.002,0.003,0.134,0.103,0.126
2003-08-01,0.015,0.005,0.061,0.031,0.030,0.003,0.005,0.003
2003-09-01,0.002,0.026,0.009,0.000,0.006,0.047,0.056,0.056
2003-10-01,0.009,0.089,0.020,0.007,0.001,0.012,0.005,0.016
2003-11-01,0.006,0.037,0.046,0.062,0.031,0.004,0.000,0.001
2003-12-01,0.018,0.034,0.053,0.084,0.060,0.006,0.000,0.000
2004-01-01,0.022,0.021,0.006,0.000,0.000,0.002,0.000,0.000
2004-02-01,0.007,0.017,0.017,0.006,0.003,0.066,0.079,0.064
2004-03-01,0.118,0.097,0.002,0.005,0.001,0.007,0.002,0.003
2004-04-01,0.035,0.233,0.224,0.137,0.199,0.029,0.070,0.042
2004-05-01,0.494,0.000,0.683,0.652,0.621,0.032,0.015,0.020
2004-06-01,1.050,0.000,1.445,1.115,1.313,0.088,0.015,0.055
2004-07-01,0.097,0.006,0.238,0.158,0.211,0.040,0.024,0.033
2004-08-01,0.030,0.031,0.016,0.000,0.006,0.110,0.080,0.094
2004-09-01,0.126,0.105,0.005,0.025,0.000,0.001,0.020,0.007
2004-10-01,0.149,0.017,0.008,0.049,0.012,0.003,0.000,0.001
2004-11-01,0.003,0.063,0.045,0.000,0.013,0.000,0.018,0.007
2004-12-01,0.094,0.098,0.001,0.029,0.001,0.003,0.023,0.013
2005-01-01,0.003,0.075,0.101,0.014,0.060,0.002,0.003,0.000
2005-02-01,0.047,0.254,0.052,0.000,0.023,0.016,0.082,0.044
2005-03-01,0.039,0.078,0.303,0.113,0.246,0.001,0.017,0.002
2005-04-01,0.011,0.008,0.071,0.003,0.055,0.026,0.000,0.009
2005-05-01,0.140,0.012,0.004,0.026,0.000,0.019,0.002,0.008
2005-06-01,0.094,0.069,0.001,0.001,0.001,0.019,0.002,0.012
2005-07-01,0.187,0.325,0.003,0.028,0.002,0.063,0.107,0.071
2005-08-01,0.115,0.010,0.005,0.037,0.006,0.060,0.038,0.052
2005-09-01,0.025,0.033,0.015,0.066,0.039,0.020,0.062,0.039
2005-10-01,0.005,0.008,0.004,0.015,0.001,0.000,0.015,0.003
2005-11-01,0.203,0.120,0.003,0.076,0.014,0.002,0.026,0.012
2005-12-01,0.334,0.149,0.103,0.176,0.126,0.063,0.060,0.072
