,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
2001-09-01,0.570,0.381,0.066,0.284,0.101,0.041,0.120,0.047
2001-10-01,1.952,0.855,0.053,0.835,0.060,0.000,0.190,0.007
2001-11-01,2.179,0.342,0.116,1.246,0.056,0.068,0.073,0.046
2001-12-01,2.985,0.168,0.775,2.451,0.817,0.011,0.103,0.001
2002-01-01,0.943,0.031,0.889,1.113,0.914,0.155,0.081,0.107
2002-02-01,0.745,0.256,0.522,0.878,0.503,0.239,0.267,0.174
2002-03-01,1.810,0.003,1.662,2.139,1.493,0.012,0.004,0.000
2002-04-01,1.144,0.672,1.293,1.312,1.339,0.787,0.606,0.728
2002-05-01,0.683,0.311,1.069,0.981,1.017,0.451,0.395,0.419
2002-06-01,0.251,0.151,0.477,0.435,0.536,0.211,0.134,0.187
2002-07-01,0.002,0.458,0.045,0.002,0.087,0.484,0.261,0.479
2002-08-01,0.066,0.136,0.061,0.135,0.064,0.050,0.019,0.041
2002-09-01,0.247,0.139,0.179,0.569,0.128,0.137,0.001,0.123
2002-10-01,0.324,0.027,0.130,0.479,0.201,0.060,0.003,0.046
2002-11-01,0.446,0.024,0.281,0.220,0.220,0.010,0.003,0.020
2002-12-01,0.122,0.090,0.076,0.033,0.107,0.073,0.042,0.136
2003-01-01,0.030,0.026,0.054,0.099,0.035,0.004,0.001,0.015
2003-02-01,0.033,0.158,0.168,0.201,0.201,0.030,0.023,0.037
2003-03-01,0.086,0.001,0.112,0.276,0.126,0.000,0.009,0.000
2003-04-01,0.332,0.004,0.118,0.302,0.216,0.040,0.033,0.035
2003-05-01,0.904,0.058,0.448,0.659,0.523,0.006,0.001,0.002
2003-06-01,1.131,0.417,0.581,0.792,0.598,0.187,0.172,0.156
2003-07-01,0.008,0.215,0.002,0.000,0.000,0.102,0.086,0.101
2003-08-01,0.072,0.011,0.158,0.122,0.126,0.051,0.050,0.047
2003-09-01,0.003,0.098,0.041,0.019,0.049,0.127,0.127,0.143
2003-10-01,0.001,0.022,0.087,0.062,0.037,0.000,0.002,0.000
2003-11-01,0.042,0.003,0.122,0.165,0.107,0.001,0.015,0.002
2003-12-01,0.071,0.002,0.137,0.203,0.160,0.000,0.013,0.004
2004-01-01,0.002,0.001,0.044,0.016,0.026,0.021,0.004,0.012
2004-02-01,0.000,0.071,0.064,0.044,0.040,0.144,0.149,0.136
2004-03-01,0.086,0.050,0.003,0.000,0.005,0.000,0.000,0.000
2004-04-01,0.104,0.141,0.413,0.281,0.396,0.009,0.040,0.017
2004-05-01,0.827,0.025,1.102,1.067,1.036,0.087,0.057,0.070
2004-06-01,1.270,0.001,1.770,1.384,1.685,0.086,0.008,0.061
2004-07-01,0.094,0.003,0.272,0.181,0.261,0.030,0.011,0.024
2004-08-01,0.044,0.034,0.024,0.000,0.014,0.124,0.074,0.102
2004-09-01,0.192,0.138,0.004,0.040,0.000,0.005,0.042,0.019
2004-10-01,0.213,0.025,0.013,0.071,0.015,0.000,0.003,0.000
2004-11-01,0.026,0.116,0.020,0.005,0.004,0.013,0.059,0.032
2004-12-01,0.195,0.160,0.003,0.072,0.009,0.020,0.059,0.041
2005-01-01,0.041,0.152,0.051,0.000,0.030,0.005,0.032,0.017
2005-02-01,0.112,0.372,0.028,0.009,0.012,0.055,0.164,0.102
2005-03-01,0.011,0.154,0.248,0.071,0.219,0.006,0.067,0.023
2005-04-01,0.042,0.032,0.046,0.001,0.039,0.006,0.009,0.001
2005-05-01,0.277,0.050,0.001,0.083,0.006,0.002,0.006,0.000
2005-06-01,0.221,0.160,0.022,0.032,0.029,0.078,0.034,0.072
2005-07-01,0.334,0.486,0.019,0.088,0.022,0.145,0.213,0.162
2005-08-01,0.234,0.000,0.033,0.106,0.036,0.029,0.012,0.022
2005-09-01,0.127,0.146,0.109,0.213,0.151,0.105,0.210,0.141
2005-10-01,0.071,0.075,0.014,0.097,0.019,0.017,0.089,0.038
2005-11-01,0.371,0.208,0.023,0.174,0.047,0.015,0.066,0.037
2005-12-01,0.547,0.251,0.200,0.325,0.237,0.124,0.120,0.147
2006-01-01,0.248,0.161,0.014,0.157,0.014,0.011,0.097,0.024
2006-02-01,0.485,0.098,0.066,0.230,0.092,0.005,0.018,0.016
2006-03-01,0.195,0.132,0.020,0.062,0.026,0.031,0.038,0.044
2006-04-01,0.122,0.030,0.007,0.041,0.008,0.000,0.002,0.001
2006-05-01,0.055,0.006,0.014,0.070,0.009,0.000,0.012,0.001
2006-06-01,0.005,0.003,0.030,0.001,0.006,0.029,0.001,0.004
2006-07-01,0.186,0.023,0.074,0.185,0.096,0.047,0.017,0.028
2006-08-01,0.254,0.003,0.145,0.230,0.186,0.008,0.005,0.006
2006-09-01,0.865,0.112,0.269,0.377,0.265,0.013,0.002,0.012
2006-10-01,0.584,0.145,0.262,0.242,0.252,0.054,0.008,0.041
