date,MCALDT,TMNOMPRC_1,TMNOMPRC_2,TMNOMPRC_3,TMNOMPRC_4,TMNOMPRC_5,TMYTM_1,TMYTM_2,TMYTM_3,TMYTM_4,TMYTM_5
1978-09-29,09/29/1978,91.824073042,84.452266898,78.051057681,71.804494928,66.082893407,8.5530021784,8.4260999913,8.2451732245,8.2692499951,8.276135621
1978-10-31,10/31/1978,90.931826627,83.114738724,76.196099212,69.789062715,64.648908625,9.5060118171,9.2347566024,9.0619974718,8.998485896,8.7192013186
1978-11-30,11/30/1978,90.715912256,83.070787863,76.59695975,70.621715219,65.254629892,9.7437405928,9.2865751211,8.8789850302,8.6898609314,8.5327879472
1978-12-29,12/29/1978,90.30495347,82.416883174,75.453984208,69.458528003,63.68550037,10.142213346,9.6294210558,9.3625888828,9.092325434,9.0143866068
1979-01-31,01/31/1979,90.682236102,82.913287483,76.532220625,70.572940588,64.712664791,9.7808701392,9.3687426709,8.9234272026,8.7071212339,8.6994980168
1979-02-28,02/28/1979,90.545523677,82.52095636,76.283270054,69.676292584,63.621196436,9.9046080876,9.6058954207,9.0321327359,9.0265691516,9.0345689063
1979-03-30,03/30/1979,90.818383794,82.765099404,76.208052077,69.888549479,64.003198649,9.5783614289,9.4323440924,9.0402567073,8.9444564219,8.914972594
1979-04-30,04/30/1979,90.675349773,82.456703353,75.920657734,69.509136635,63.555935497,9.7617201276,9.631647902,9.1743342582,9.092799492,9.0550724362
1979-05-31,05/31/1979,90.827497003,83.088760417,76.810850296,70.28956052,64.766483051,9.6208115796,9.2757438402,8.8102343408,8.8076399989,8.6781287173
1979-06-29,06/29/1979,91.249610862,84.10298612,77.39470376,71.167002196,65.866604586,9.1072430882,8.6327544619,8.5261549089,8.4918904801,8.3416310555
1979-07-31,07/31/1979,90.990523011,83.427484775,76.814857014,70.597846964,65.072239775,9.4156865804,9.0472254292,8.7924040569,8.7102298225,8.5840358087
1979-08-31,08/31/1979,90.460217621,82.595709641,75.818167162,69.630097645,64.208579789,10.053546029,9.5475436104,9.2193225587,9.0431381414,8.8509670907
1979-09-28,09/28/1979,89.881423777,82.185339603,75.151348612,69.120552259,63.443596524,10.580923162,9.7695139828,9.4961871299,9.2140188984,9.0904161964
1979-10-31,10/31/1979,88.2906029,79.233732881,71.440059765,64.858377281,58.784018258,12.419624567,11.638402881,11.220627133,10.816694155,10.614371053
1979-11-30,11/30/1979,89.447232136,80.282145461,73.72584355,67.125033904,60.722578388,11.182770187,10.966124827,10.151289478,9.9585075312,9.9661698932
1979-12-31,12/31/1979,89.416014109,80.490959204,73.234460819,66.725187127,60.749752154,11.156473689,10.836421413,10.373996437,10.114692156,9.9572315549
1980-01-31,01/31/1980,89.034205916,79.689213539,72.350658239,65.183947215,58.854885713,11.614955396,11.367369111,10.778345032,10.69160112,10.590300824
1980-02-29,02/29/1980,86.634294281,76.122612969,67.203013962,60.21460095,54.322156499,14.386860789,13.678717403,13.248403356,12.672703412,12.198075802
1980-03-31,03/31/1980,86.174256107,75.604936421,67.673061287,61.190111853,54.255642001,14.879870597,13.982430418,13.016066998,12.279614514,12.235968412
1980-04-30,04/30/1980,90.145365216,81.037208286,73.700773433,66.971715747,60.115858627,10.374664958,10.513088762,10.181193909,10.015635421,10.172355951
1980-05-30,05/30/1980,91.849779711,83.969591731,76.156972897,68.97250862,61.90164571,8.524933629,8.7597725592,9.070834598,9.2738507857,9.5819675365
1980-06-30,06/30/1980,92.11392831,83.958641747,76.255566967,69.323402123,62.519635162,8.2144023865,8.7422934272,9.0359923949,9.1596910958,9.3989402644
1980-07-31,07/31/1980,91.481417889,82.765328953,74.7151446,67.739561441,60.406436069,8.9034317507,9.4710212309,9.7340249536,9.7308305866,10.075969183
1980-08-29,08/29/1980,89.516797068,79.992636275,71.351842152,63.917451381,56.864323894,11.014039239,11.131283697,11.231054088,11.166499099,11.277681567
1980-09-30,09/30/1980,88.91272107099999,79.128946096,70.661735657,62.893850166,56.24699497,11.751495954,11.704571755,11.57553304,11.600991459,11.502048519
1980-10-31,10/31/1980,87.879612634,77.746781995,69.076818559,61.62650028,54.179130142,12.955730363,12.620227771,12.331699975,12.093672151,12.250774941
1980-11-28,11/28/1980,86.739619592,76.858890271,68.016179519,60.548194804,53.304229923,14.148417718,13.123996115,12.824062849,12.517542296,12.569315252
1980-12-31,12/31/1980,87.975373079,78.048727412,69.843542833,61.915971693,55.196693437,12.811326205,12.391842197,11.974686911,11.976597508,11.878833388
1981-01-30,01/30/1981,87.412160088,77.795435389,69.224643407,61.375399833,54.136736676,13.490539135,12.537197174,12.249256233,12.187332192,12.259708189
1981-02-27,02/27/1981,86.933217119,76.815880529,67.23446937,59.282217424,52.134577511,14.041468541,13.169898555,13.208678949,13.053638335,13.012575168
1981-03-31,03/31/1981,88.158681405,77.692003658,68.45308908,60.114877108,52.567520615,12.603179754,12.620892347,12.634050586,12.731541797,12.8543908
1981-04-30,04/30/1981,86.492762634,75.18565004,66.138496863,57.357381292,50.296672388,14.510944452,14.280051562,13.768067157,13.887204646,13.737097709
1981-05-29,05/29/1981,86.62694045,75.835345479,66.640548349,58.524679975,51.887856992,14.395372831,13.792497797,13.491601937,13.365577537,13.107343531
1981-06-30,06/30/1981,87.018011455,75.596994364,66.589261042,57.582454496,51.594197139,13.905506054,13.987683034,13.554229306,13.808265293,13.227970938
1981-07-31,07/31/1981,85.806826182,73.941726702,64.895738267,56.380383971,49.609937626,15.349215669,15.136113475,14.399791109,14.316416806,14.011902134
1981-08-31,08/31/1981,85.375103431,73.140625009,62.678640306,55.09700203,47.828151465,15.811565661,15.639311396,15.557441634,14.901872023,14.759202525
1981-09-30,09/30/1981,85.69887135,73.209537312,62.785330894,53.079335192,47.214017472,15.433053025,15.592224118,15.529138725,15.823724721,15.001366733
1981-10-30,10/30/1981,87.143250997,75.608240209,65.569708403,56.416465066,48.957530798,13.799493267,13.96112078,14.042896126,14.290652213,14.268702591
1981-11-30,11/30/1981,89.53663499,79.332181251,68.653655602,61.248044706,54.377413931,11.052231496,11.576316157,12.525088915,12.255956506,12.19110592
1981-12-31,12/31/1981,87.897738707,76.813587127,66.722686932,58.122548887,51.055778075,12.899610738,13.207524777,13.47519966,13.556127604,13.437665726
1982-01-29,01/29/1982,87.254210131,76.376543897,66.200778125,57.561184066,50.584745119,13.560135107,13.437911816,13.71169924,13.779728852,13.615481513
1982-02-26,02/26/1982,87.102335156,75.943912068,66.489950388,58.036259009,51.067402085,13.733397724,13.702444674,13.566809625,13.574662277,13.425763051
1982-03-31,03/31/1982,87.234865326,75.847259678,65.974523071,57.302426948,50.784861186,13.656610327,13.822430451,13.876056068,13.911152329,13.544015865
1982-04-30,04/30/1982,87.542284506,76.345307683,66.872120784,58.761647022,51.850960184,13.341378097,13.476719489,13.400696977,13.282922544,13.128740407
1982-05-28,05/28/1982,87.974667956,77.030380474,67.264069561,59.161477186,51.834245675,12.70768085,12.977405423,13.17002333,13.095580782,13.127995883
1982-06-30,06/30/1982,86.968100912,75.481729183,65.326741591,57.494041814,49.584650057,13.962879075,14.06397783,14.205262766,13.827750855,14.022093706
1982-07-30,07/30/1982,88.48039323,77.369969157,67.659749243,59.926305009,51.672806948,12.272544347,12.793523352,12.998882003,12.783853622,13.190315165
1982-08-31,08/31/1982,89.373571568,79.237923919,69.455964537,60.801723201,53.810668913,11.234516755,11.619840664,12.149241629,12.447327601,12.387180736
1982-09-30,09/30/1982,90.300658445,80.34428938,71.515610612,64.041398958,56.504581138,10.202543385,10.957468629,11.164951812,11.13338597,11.410716566
1982-10-29,10/29/1982,91.007701749,81.935621799,72.842050377,66.253918334,59.570313908,9.3712554829,9.921046097,10.533699893,10.270785127,10.348915134
1982-11-30,11/30/1982,91.200544324,82.343626765,73.698847639,65.446300858,59.268537333,9.2109320458,9.7001683461,10.172767728,10.605770127,10.456102063
1982-12-31,12/31/1982,91.881054066,83.05682113,74.430806505,66.605813535,59.8314221,8.4907964356,9.2695630194,9.8343613775,10.152504507,10.267158027
1983-01-31,01/31/1983,91.656837146,82.910375606,74.016889437,67.031176315,59.278339945,8.7118613875,9.3576799664,10.020079089,10.000308917,10.464257843
1983-02-28,02/28/1983,91.872609987,83.281736593,75.122922346,67.236698773,60.489832613,8.4535640018,9.1345324401,9.5261157196,9.9237743707,10.04289183
1983-03-31,03/31/1983,91.284029517,82.438902174,74.046034831,67.130475301,59.444658351,9.1194336826,9.6688823727,10.006968085,9.9564824103,10.391100767
1983-04-29,04/29/1983,91.701998543,83.142991197,75.033287273,67.74635751,60.552220769,8.6153936086,9.2051942524,9.5571553332,9.7216699559,10.022297379
1983-05-31,05/31/1983,91.161597574,82.194126839,73.993792236,66.156958952,58.955428715,9.2283627111,9.790904636,10.039633133,10.335582242,10.556200936
1983-06-30,06/30/1983,91.029296566,81.836510128,73.687747504,65.913432532,58.389083288,9.3988790998,10.036083445,10.168502404,10.413565986,10.749045009
1983-07-29,07/29/1983,90.235051472,80.681215569,71.937626335,63.349968058,56.172146317,10.191458171,10.689291905,10.949027369,11.388992574,11.522356048
1983-08-31,08/31/1983,90.193260468,80.502922561,71.62847262,63.102584674,55.560027037,10.293347224,10.843834856,11.132750749,11.502333343,11.741256403
1983-09-30,09/30/1983,90.825904161,81.40506448,72.614643645,64.978786357,56.86578963,9.6490013428,10.272562911,10.657054009,10.770356614,11.277166617
1983-10-31,10/31/1983,90.908482471,81.321884868,72.383380901,64.255869811,57.015632315,9.5056446236,10.323609054,10.763286235,11.057427686,11.224593077
1983-11-30,11/30/1983,90.775507785,81.229572878,72.632598719,64.168372205,57.330859687,9.6516248987,10.394540356,10.668287199,11.083902073,11.114442573
1983-12-30,12/30/1983,90.613589153,80.965431566,72.404196415,63.93632796,56.629131875,9.8028848982,10.528549563,10.743907284,11.16676493,11.360482778
1984-01-31,01/31/1984,90.881167231,81.299640515,72.771918325,64.586400802,57.208400895,9.5356139965,10.337268945,10.594668399,10.93664921,11.157161474
1984-02-29,02/29/1984,90.558193737,80.674055265,71.916829839,63.554459872,56.267318505,9.9177517213,10.737657925,10.998706573,11.324069341,11.49482725
1984-03-30,03/30/1984,89.934855436,79.790539943,70.687139226,62.152309089,54.783051841,10.637605219,11.272819596,11.553000979,11.873290633,12.022610695
1984-04-30,04/30/1984,89.847158931,79.321450316,70.247776115,61.763561928,54.101925519,10.706019339,11.583079907,11.771384851,12.046415206,12.29274372
1984-05-31,05/31/1984,88.787412001,77.708299485,67.864004077,59.15191682,51.151203636,11.892530279,12.627704207,12.945792816,13.117545426,13.400340164
1984-06-29,06/29/1984,88.792585146,77.432958839,67.461819544,58.910254476,51.260947103,11.919360318,12.770389913,13.108308957,13.210778349,13.350189322
1984-07-31,07/31/1984,89.086648542,78.304573585,69.114917185,60.912623944,53.429911866,11.556071075,12.228208683,12.313320377,12.401738567,12.529123315
1984-08-31,08/31/1984,88.943772607,78.451310063,69.247616324,60.895226057,53.607262217,11.74876736,12.167937735,12.249382459,12.391897784,12.462883381
1984-09-28,09/28/1984,89.486754815,79.037725385,69.909431719,61.567056374,54.403043968,11.047422414,11.730108539,11.910565981,12.101215957,12.161673607
1984-10-31,10/31/1984,90.375070236,80.538436676,71.713634479,63.830923255,56.9013953,10.120172834,10.821782064,11.093106799,11.21562888,11.270830303
1984-11-30,11/30/1984,90.980888346,81.542221923,72.764800242,64.428135532,57.565236668,9.4780396225,10.23049117,10.597929012,10.982971693,11.038977501
1984-12-31,12/31/1984,91.376740902,82.223702577,73.228517741,65.308812274,57.790479328,9.0179215821,9.7863286488,10.386175452,10.651080205,10.972935209
1985-01-31,01/31/1985,91.541729771,82.420447576,73.875342722,65.559936379,58.894456731,8.8375254602,9.6800918748,10.111504269,10.547910705,10.582665199
1985-02-28,02/28/1985,90.77711669,81.239686364,72.340428791,63.713662565,56.804878257,9.676295098,10.402565576,10.783053967,11.261565939,11.304764827
1985-03-29,03/29/1985,90.858366871,81.520500641,72.627113713,64.044589722,57.341182666,9.5345856723,10.187871049,10.631933569,11.116922805,11.110845645
1985-04-30,04/30/1985,91.464062218,82.258268967,73.61955126,65.148826903,58.344181048,8.9224053497,9.7653133419,10.208652085,10.719740066,10.770309258
1985-05-31,05/31/1985,92.286817741,83.995542686,75.830750961,67.78574258,61.473721352,8.0489396846,8.7442799094,9.2137956184,9.7138044184,9.7258783902
1985-06-28,06/28/1985,92.569210204,84.186596842,75.726939092,67.949579576,61.506230324,7.679282011,8.5832075529,9.242551957,9.6402970103,9.709993037
1985-07-31,07/31/1985,92.171421927,83.802591067,75.281668518,66.997831234,60.882264355,8.1520060879,8.8353129663,9.4731017535,10.005895292,9.9191301286
1985-08-30,08/30/1985,92.301341468,83.771737132,75.827874575,67.726529496,61.505636772,8.0331600941,8.8416132821,9.2066582406,9.7289780193,9.710185832
1985-09-30,09/30/1985,92.290780179,84.019826247,75.934618805,67.962388368,61.31887708,8.0225939182,8.7058694125,9.1682107377,9.6553936518,9.7870114721
1985-10-31,10/31/1985,92.52379495,84.324756194,76.570172134,68.910819794,62.169605539,7.7704331846,8.5364285465,8.8906338204,9.3025532009,9.5008729883
1985-11-29,11/29/1985,92.618888829,84.693391834,77.273376658,69.770233544,63.154634494,7.6887736847,8.2952669376,8.5783552628,8.9867574167,9.1816169036
1985-12-31,12/31/1985,92.794096019,85.46724827,78.287353062,71.377860718,64.959442543,7.4787168703,7.85184723,8.1594707444,8.435339039,8.6234159972
1986-01-31,01/31/1986,92.722337517,85.54473342,78.138286345,71.267352172,64.893917071,7.5768364695,7.8279843275,8.2154985005,8.4625003889,8.6435893963
1986-02-28,02/28/1986,92.907002039,85.975770787,79.301625441,72.938725282,66.916856067,7.3773293103,7.5448977684,7.7233323811,7.8833625401,8.0299855782
1986-03-31,03/31/1986,93.434408283,87.220507929,80.83811386,74.722167136,69.184041268,6.7910511558,6.8271827171,7.084251501,7.2848347264,7.3760828766
1986-04-30,04/30/1986,93.709654326,87.455929298,80.743458627,74.757847101,69.06388368,6.4968967622,6.7017592336,7.1362913753,7.2679221675,7.3987108595
1986-05-30,05/30/1986,93.410902613,86.369143524,79.490175555,72.471588062,66.672051894,6.8349378836,7.3069665388,7.6372756115,8.0383782895,8.0988111834
1986-06-30,06/30/1986,93.783154099,87.314503028,80.755403507,74.237603627,68.721105098,6.4184939936,6.7734018034,7.1183431728,7.4474844192,7.5063895082
1986-07-31,07/31/1986,93.99147434,87.883076471,80.93317401,75.050345853,69.096275249,6.1966106345,6.4670054789,7.045112528,7.1703644439,7.3893380186
1986-08-29,08/29/1986,94.650409239,88.767534952,82.672457004,76.926754923,71.722972303,5.4680366089,5.9330775991,6.325459483,6.5444637777,6.6399052364
1986-09-30,09/30/1986,94.343065609,88.105146178,81.737137846,75.215689141,69.47736734,5.8232413337,6.3233000551,6.7220576604,7.1251392204,7.2793937814
1986-10-31,10/31/1986,94.520733706,88.405546514,82.217780659,76.224835237,70.269524228,5.6505784131,6.1533445259,6.5206652388,6.7824260221,7.0527750674
1986-11-28,11/28/1986,94.399781138,88.447625864,82.60257872,76.67923274,71.346312336,5.731736344,6.1128591282,6.3535691379,6.6248691178,6.745098607
1986-12-31,12/31/1986,94.119520358,88.168279669,82.28627702,76.667751449,70.762194788,6.060471821,6.29614643,6.5048013872,6.6376792067,6.9131177643
1987-01-30,01/30/1987,94.281334762,88.312124243,82.382748778,76.588529297,71.361068345,5.9048730559,6.197659276,6.4480271116,6.6589498833,6.7409671162
1987-02-27,02/27/1987,94.167951503,88.171726866,82.375910255,76.62899196,71.359518052,5.9762812314,6.2769944727,6.4507891535,6.6457636266,6.741401138
1987-03-31,03/31/1987,93.98905112,87.879654026,81.793144585,76.050877374,70.239752954,6.1822512642,6.4512564495,6.699225297,6.8535792229,7.057380903
1987-04-30,04/30/1987,93.392017656,86.539486609,79.662126915,73.305309825,67.559036945,6.8364308475,7.2383847709,7.5722819368,7.7581149001,7.8347808541
1987-05-29,05/29/1987,93.101572757,85.836352022,78.96734153,72.535400016,66.621281715,7.0896397596,7.6051254853,7.8496878648,8.0109258932,8.11403013
1987-06-30,06/30/1987,93.3871193,86.315682205,79.533021725,73.139159887,66.97979993,6.8229829802,7.347878788,7.6332629929,7.8255168456,8.0068074637
1987-07-31,07/31/1987,93.318169028,86.079443077,79.034903913,72.644853984,66.567439426,6.9345349715,7.4847249448,7.8355315615,7.9842223214,8.1301826544
1987-08-31,08/31/1987,93.029952581,85.496277552,78.305701902,71.788729628,65.607743791,7.205127485,7.8241494295,8.1442214989,8.2860672805,8.4203012321
1987-09-30,09/30/1987,92.400821003,84.467185382,76.891349687,69.715896177,63.427583764,7.8818383118,8.4403532864,8.7672330466,9.0123730594,9.0954591796
1987-10-30,10/30/1987,93.472443313,85.810326269,78.572887094,71.655453793,65.780198883,6.7135650361,7.6306360229,8.0234617171,8.3211241603,8.3678561137
1987-11-30,11/30/1987,93.331308343,85.959065645,78.727890148,71.836514909,65.485859737,6.8826005253,7.5546004502,7.9651498044,8.2694318754,8.4574504626
1987-12-31,12/31/1987,93.013673032,85.850421525,78.911953666,72.262500771,65.99220917,7.242368179,7.6386483278,7.8873794202,8.116062559,8.3035700055
1988-01-29,01/29/1988,93.450191558,86.645579016,80.110684063,73.8036065,68.092399213,6.7189360048,7.1378759963,7.3718350337,7.578492449,7.6776778678
